指标,2021年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
6岁及6岁以上人口数(人口抽样调查)(人),1402340,1016417,1064195,1063758,1077322,19833469,1047090,1041825,1047865,1067267,1091868,1106434,1116037,1118855,15878355,1177817,1182247,1178951
6岁及6岁以上男性人口数(人口抽样调查)(人),715667,517653,542369,542541,549723,10121107,534288,532072,534803,544753,551512,558582,562664,563752,7975386,595688,600593,598979
6岁及6岁以上女性人口数(人口抽样调查)(人),686673,498764,521826,521217,527599,9712363,512802,509754,513062,522514,540356,547852,553373,555103,7902969,582128,581653,579972
6岁及6岁以上未上过学人口数(人口抽样调查)(人),51186,51892,57483,56152,61448,1128946,56255,52010,55454,58732,77716,82987,89448,98335,1646360,107922,114500,120551
6岁及6岁以上未上过学男性人口数(人口抽样调查)(人),14686,14714,16481,16293,18267,326099,16763,16272,16753,17464,22304,22947,24528,26886,450088,31281,33359,34743
6岁及6岁以上未上过学女性人口数(人口抽样调查)(人),36501,37178,41001,39859,43181,802847,39492,35738,38701,41268,55412,60039,64920,71448,1196272,76641,81141,85809
6岁及6岁以上小学人口数(人口抽样调查)(人),365918,257030,268951,268406,275939,5199574,274858,274658,281681,294232,328934,344870,354873,370014,5285045,381371,395118,412186
6岁及6岁以上小学男性人口数(人口抽样调查)(人),170546,121439,127947,127614,131541,2496606,129783,130360,133547,139378,155939,164139,169833,178576,2581633,185506,193215,202100
6岁及6岁以上小学女性人口数(人口抽样调查)(人),195372,135591,141004,140791,144398,2702967,145076,144299,148134,154854,172995,180731,185041,191438,2703412,195865,201903,210086
6岁及6岁以上初中人口数(人口抽样调查)(人),487144,379039,401864,404872,418395,7600489,420432,425144,430799,441905,455002,452929,448897,436273,6088659,462796,449693,443836
6岁及6岁以上初中男性人口数(人口抽样调查)(人),263182,203850,216604,217886,225166,4086432,226122,225878,230637,236369,244280,244026,242231,236899,3316912,251281,246547,245521
6岁及6岁以上初中女性人口数(人口抽样调查)(人),223962,175189,185260,186987,193229,3514057,194309,199266,200162,205537,210722,208903,206667,199374,2771747,211515,203146,198315
6岁及6岁以上高中人口数(人口抽样调查)(人),233626,180285,186794,186735,182171,3260972,174847,172088,168941,165049,150648,151474,149635,144652,1975098,157783,158060,146837
6岁及6岁以上高中男性人口数(人口抽样调查)(人),129645,100465,103720,104073,101326,1817584,98256,95972,94487,94528,84827,85912,85386,81865,1120964,88282,89289,83782
6岁及6岁以上高中女性人口数(人口抽样调查)(人),103981,79821,83074,82662,80845,1443388,76591,76116,74454,70521,65821,65562,64249,62787,854134,69501,68771,63055
6岁及6岁以上大专及以上人口数(人口抽样调查)(人),264467,148170,149104,147593,139370,2643490,120698,117925,110990,107348,79567,74175,73184,69581,883192,67945,64875,55541
6岁及6岁以上大专及以上男性人口数(人口抽样调查)(人),137608,77186,77616,76674,73423,1394386,63364,63590,59380,57013,44163,41558,40687,39525,505789,39339,38183,32833
6岁及6岁以上大专及以上女性人口数(人口抽样调查)(人),126857,70984,71487,70919,65946,1249104,57334,54336,51610,50334,35404,32619,32497,30056,377404,28607,26692,22708
,1.05 ,1.45 ,1.55 ,1.53 ,1.70 ,1.64 ,1.60 ,1.56 ,1.60 ,1.64 ,2.04 ,2.07 ,2.20 ,2.40 ,2.83 ,2.66 ,2.82 ,2.95 
,2.60 ,3.66 ,3.85 ,3.75 ,4.01 ,4.05 ,3.77 ,3.43 ,3.69 ,3.87 ,5.07 ,5.43 ,5.82 ,6.39 ,7.53 ,6.51 ,6.86 ,7.28 
